product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty
47,cool_stuff,38.0,1176.0,3.0
48,moveis_decoracao,42.0,303.0,2.0
49,moveis_decoracao,60.0,1972.0,2.0
50,beleza_saude,60.0,330.0,1.0
51,esporte_lazer,53.0,3218.0,5.0
52,cool_stuff,55.0,410.0,2.0
53,automotivo,57.0,311.0,1.0
54,bebes,50.0,509.0,4.0
55,malas_acessorios,53.0,1291.0,2.0
56,fashion_calcados,60.0,402.0,2.0
57,telefonia,51.0,427.0,2.0
58,cool_stuff,58.0,1252.0,1.0
59,papelaria,49.0,488.0,3.0
60,brinquedos,50.0,423.0,4.0
61,esporte_lazer,47.0,956.0,1.0
62,papelaria,59.0,144.0,1.0
63,beleza_saude,51.0,1069.0,1.0
64,fashion_bolsas_e_acessorios,50.0,554.0,3.0
65,papelaria,41.0,92.0,1.0
66,papelaria,43.0,198.0,2.0
67,esporte_lazer,50.0,255.0,2.0
68,ferramentas_jardim,33.0,200.0,1.0
69,pcs,55.0,1067.0,1.0
70,automotivo,60.0,1543.0,6.0
71,casa_construcao,55.0,1441.0,1.0
72,relogios_presentes,56.0,489.0,2.0
73,cool_stuff,57.0,992.0,3.0
74,construcao_ferramentas_construcao,54.0,339.0,1.0
75,pet_shop,54.0,463.0,1.0
76,beleza_saude,40.0,1469.0,3.0
77,eletroportateis,58.0,587.0,3.0
78,perfumaria,52.0,150.0,1.0
79,relogios_presentes,51.0,484.0,1.0
80,agro_industria_e_comercio,39.0,430.0,1.0
81,beleza_saude,22.0,1313.0,1.0
82,beleza_saude,37.0,1168.0,1.0
83,cama_mesa_banho,39.0,1146.0,1.0
84,ferramentas_jardim,42.0,671.0,1.0
85,perfumaria,49.0,460.0,2.0
86,instrumentos_musicais,59.0,2367.0,3.0
87,cama_mesa_banho,54.0,381.0,2.0
88,cama_mesa_banho,50.0,607.0,1.0
89,moveis_decoracao,59.0,1750.0,3.0
90,informatica_acessorios,55.0,163.0,2.0
91,esporte_lazer,43.0,101.0,1.0
92,beleza_saude,60.0,2497.0,1.0
93,beleza_saude,60.0,1146.0,6.0
94,esporte_lazer,57.0,900.0,4.0
95,telefonia,49.0,319.0,1.0
96,moveis_decoracao,55.0,1186.0,2.0
97,automotivo,58.0,703.0,6.0
98,automotivo,50.0,361.0,1.0
99,relogios_presentes,58.0,899.0,2.0
100,cama_mesa_banho,49.0,701.0,1.0
101,moveis_decoracao,47.0,1405.0,3.0
102,informatica_acessorios,59.0,504.0,3.0
103,relogios_presentes,57.0,276.0,4.0
104,moveis_decoracao,46.0,287.0,1.0
105,bebes,46.0,1039.0,1.0
106,esporte_lazer,56.0,663.0,4.0
107,cama_mesa_banho,39.0,170.0,1.0
108,eletroportateis,53.0,794.0,4.0
109,utilidades_domesticas,56.0,414.0,1.0
110,moveis_sala,36.0,312.0,2.0
111,esporte_lazer,53.0,425.0,1.0
112,casa_construcao,58.0,918.0,6.0
113,pet_shop,36.0,617.0,1.0
114,utilidades_domesticas,41.0,270.0,1.0
115,moveis_decoracao,22.0,275.0,1.0
116,cama_mesa_banho,58.0,381.0,2.0
117,cama_mesa_banho,58.0,223.0,1.0
118,telefonia,63.0,1930.0,9.0
119,malas_acessorios,51.0,244.0,1.0
120,perfumaria,56.0,733.0,3.0
121,esporte_lazer,52.0,1049.0,3.0
122,sinalizacao_e_seguranca,51.0,1212.0,1.0
123,climatizacao,30.0,547.0,1.0
124,fashion_bolsas_e_acessorios,53.0,1398.0,1.0
125,moveis_decoracao,34.0,160.0,1.0
126,esporte_lazer,57.0,245.0,2.0
127,telefonia,50.0,1254.0,2.0
128,artes,59.0,1431.0,6.0
129,cama_mesa_banho,53.0,261.0,2.0
130,ferramentas_jardim,60.0,884.0,1.0
131,fashion_bolsas_e_acessorios,52.0,68.0,7.0
132,bebes,30.0,410.0,4.0
133,consoles_games,48.0,303.0,3.0
134,utilidades_domesticas,59.0,943.0,1.0
135,malas_acessorios,49.0,540.0,4.0
136,cama_mesa_banho,53.0,222.0,1.0
137,consoles_games,56.0,235.0,1.0
138,esporte_lazer,50.0,329.0,2.0
139,esporte_lazer,55.0,144.0,1.0
140,cool_stuff,59.0,797.0,2.0
141,consoles_games,53.0,439.0,5.0
142,relogios_presentes,60.0,438.0,2.0
143,brinquedos,55.0,852.0,1.0
144,bebes,39.0,805.0,3.0
145,moveis_sala,52.0,420.0,2.0
146,automotivo,58.0,386.0,1.0
147,eletrodomesticos,50.0,273.0,1.0
148,relogios_presentes,43.0,572.0,2.0
149,cama_mesa_banho,52.0,700.0,2.0
150,automotivo,47.0,1548.0,3.0
151,esporte_lazer,55.0,448.0,1.0
152,brinquedos,51.0,410.0,2.0
153,beleza_saude,59.0,257.0,1.0
154,beleza_saude,51.0,863.0,1.0
155,utilidades_domesticas,29.0,290.0,1.0
156,ferramentas_jardim,31.0,680.0,1.0
157,esporte_lazer,57.0,785.0,4.0
158,telefonia,51.0,244.0,1.0
159,moveis_escritorio,50.0,2220.0,1.0
160,relogios_presentes,53.0,599.0,2.0
161,esporte_lazer,57.0,649.0,1.0
162,fashion_bolsas_e_acessorios,30.0,401.0,3.0
163,automotivo,35.0,907.0,3.0
164,utilidades_domesticas,38.0,390.0,1.0
165,casa_construcao,55.0,918.0,6.0
166,fashion_bolsas_e_acessorios,48.0,382.0,5.0
167,utilidades_domesticas,32.0,42.0,1.0
168,informatica_acessorios,47.0,764.0,1.0
169,esporte_lazer,52.0,406.0,1.0
170,papelaria,50.0,198.0,2.0
171,esporte_lazer,50.0,853.0,1.0
172,telefonia,59.0,776.0,6.0
173,livros_interesse_geral,50.0,2913.0,3.0
174,informatica_acessorios,53.0,585.0,1.0
175,perfumaria,48.0,1063.0,2.0
176,brinquedos,47.0,181.0,1.0
177,construcao_ferramentas_ferramentas,42.0,369.0,1.0
178,brinquedos,25.0,274.0,1.0
179,telefonia,50.0,744.0,1.0
180,ferramentas_jardim,44.0,2395.0,1.0
181,utilidades_domesticas,59.0,470.0,2.0
182,fashion_underwear_e_moda_praia,39.0,422.0,1.0
183,malas_acessorios,59.0,413.0,3.0
184,eletronicos,37.0,374.0,1.0
185,utilidades_domesticas,22.0,388.0,3.0
186,automotivo,59.0,162.0,1.0
187,fashion_calcados,59.0,605.0,5.0
188,esporte_lazer,52.0,234.0,4.0
189,construcao_ferramentas_construcao,57.0,272.0,1.0
190,beleza_saude,55.0,1029.0,1.0
191,relogios_presentes,60.0,312.0,4.0
192,moveis_decoracao,60.0,1068.0,3.0
193,moveis_decoracao,63.0,244.0,4.0
194,cama_mesa_banho,48.0,645.0,1.0
195,cool_stuff,50.0,268.0,5.0
196,utilidades_domesticas,43.0,2148.0,2.0
197,esporte_lazer,47.0,154.0,3.0
198,papelaria,48.0,501.0,1.0
199,papelaria,59.0,209.0,1.0
200,brinquedos,59.0,640.0,1.0
201,climatizacao,58.0,655.0,5.0
202,cama_mesa_banho,55.0,315.0,2.0
203,pet_shop,52.0,1290.0,3.0
204,brinquedos,58.0,443.0,2.0
205,bebes,55.0,224.0,2.0
206,informatica_acessorios,50.0,281.0,4.0
207,cama_mesa_banho,57.0,74.0,1.0
208,perfumaria,45.0,1003.0,2.0
209,eletronicos,32.0,1274.0,1.0
210,brinquedos,57.0,1532.0,2.0
211,fashion_roupa_masculina,47.0,1026.0,2.0
212,pet_shop,54.0,261.0,6.0
213,bebes,56.0,1395.0,7.0
214,beleza_saude,60.0,537.0,1.0
215,relogios_presentes,55.0,457.0,2.0
216,cama_mesa_banho,60.0,609.0,2.0
217,beleza_saude,52.0,1113.0,1.0
218,brinquedos,48.0,135.0,1.0
219,utilidades_domesticas,57.0,1298.0,1.0
220,malas_acessorios,43.0,215.0,1.0
221,esporte_lazer,29.0,1318.0,1.0
222,papelaria,23.0,146.0,3.0
223,casa_construcao,59.0,1582.0,1.0
224,relogios_presentes,47.0,687.0,1.0
225,cama_mesa_banho,53.0,155.0,2.0
226,cool_stuff,42.0,727.0,1.0
227,esporte_lazer,54.0,3830.0,1.0
228,utilidades_domesticas,58.0,172.0,1.0
229,artes,32.0,195.0,1.0
230,beleza_saude,40.0,654.0,1.0
231,consoles_games,44.0,421.0,1.0
232,fashion_bolsas_e_acessorios,59.0,251.0,1.0
233,cama_mesa_banho,41.0,242.0,1.0
234,automotivo,51.0,1741.0,1.0
235,informatica_acessorios,31.0,432.0,1.0
236,esporte_lazer,53.0,527.0,2.0
237,moveis_decoracao,51.0,1442.0,1.0
238,utilidades_domesticas,55.0,471.0,2.0
239,construcao_ferramentas_ferramentas,40.0,338.0,1.0
240,eletrodomesticos,56.0,173.0,1.0
241,ferramentas_jardim,49.0,192.0,1.0
242,moveis_cozinha_area_de_servico_jantar_e_jardim,50.0,859.0,1.0
243,utilidades_domesticas,53.0,524.0,1.0
244,brinquedos,29.0,566.0,2.0
245,beleza_saude,53.0,1368.0,6.0
246,eletronicos,52.0,424.0,1.0
247,pet_shop,50.0,852.0,1.0
248,esporte_lazer,37.0,621.0,5.0
249,bebes,58.0,1261.0,3.0
250,utilidades_domesticas,57.0,1094.0,1.0
251,bebes,64.0,882.0,5.0
252,moveis_escritorio,41.0,2261.0,1.0
253,malas_acessorios,28.0,453.0,1.0
254,eletronicos,25.0,813.0,1.0
255,beleza_saude,59.0,822.0,1.0
256,brinquedos,53.0,579.0,1.0
257,esporte_lazer,58.0,568.0,4.0
258,industria_comercio_e_negocios,58.0,1058.0,1.0
259,informatica_acessorios,32.0,1074.0,2.0
260,moveis_escritorio,46.0,1193.0,2.0
261,telefonia,51.0,443.0,1.0
262,telefonia_fixa,27.0,1217.0,1.0
263,cama_mesa_banho,55.0,613.0,1.0
264,fashion_calcados,54.0,404.0,4.0
265,cool_stuff,43.0,447.0,2.0
266,construcao_ferramentas_iluminacao,57.0,919.0,6.0
267,esporte_lazer,42.0,2819.0,1.0
268,utilidades_domesticas,57.0,623.0,4.0
269,cama_mesa_banho,57.0,296.0,1.0
270,construcao_ferramentas_seguranca,51.0,1006.0,3.0
271,cama_mesa_banho,49.0,153.0,1.0
272,automotivo,55.0,978.0,1.0
273,cama_mesa_banho,42.0,431.0,1.0
274,bebes,19.0,200.0,1.0
275,brinquedos,55.0,1475.0,1.0
276,perfumaria,48.0,606.0,2.0
277,consoles_games,25.0,211.0,1.0
278,automotivo,60.0,1023.0,5.0
279,informatica_acessorios,53.0,813.0,4.0
280,moveis_decoracao,49.0,607.0,1.0
281,relogios_presentes,54.0,364.0,1.0
282,automotivo,53.0,1373.0,4.0
283,instrumentos_musicais,40.0,234.0,1.0
284,esporte_lazer,39.0,772.0,1.0
285,beleza_saude,60.0,876.0,1.0
286,consoles_games,47.0,358.0,3.0
287,beleza_saude,29.0,556.0,1.0
288,construcao_ferramentas_construcao,57.0,954.0,4.0
289,informatica_acessorios,52.0,2515.0,1.0
290,moveis_decoracao,56.0,646.0,1.0
291,fashion_bolsas_e_acessorios,38.0,487.0,2.0
292,moveis_decoracao,50.0,1342.0,3.0
293,moveis_decoracao,49.0,600.0,2.0
294,relogios_presentes,50.0,295.0,1.0
295,construcao_ferramentas_construcao,37.0,2457.0,1.0
296,moveis_decoracao,58.0,1969.0,2.0
297,malas_acessorios,45.0,224.0,1.0
298,moveis_decoracao,51.0,582.0,2.0
299,fashion_roupa_masculina,36.0,940.0,2.0
300,informatica_acessorios,52.0,1224.0,2.0
301,pet_shop,56.0,1545.0,2.0
302,ferramentas_jardim,44.0,586.0,3.0
303,fashion_calcados,57.0,404.0,2.0
304,cama_mesa_banho,54.0,228.0,1.0
305,ferramentas_jardim,41.0,198.0,1.0
306,climatizacao,56.0,1161.0,1.0
307,moveis_decoracao,56.0,2028.0,3.0
308,fashion_calcados,44.0,284.0,12.0
309,telefonia,49.0,276.0,12.0
310,automotivo,55.0,1658.0,3.0
311,automotivo,59.0,1250.0,1.0
312,automotivo,60.0,1541.0,1.0
313,utilidades_domesticas,55.0,998.0,3.0
314,bebes,46.0,726.0,3.0
315,consoles_games,56.0,3354.0,4.0
316,fashion_bolsas_e_acessorios,54.0,1399.0,1.0
317,telefonia,61.0,212.0,1.0
318,beleza_saude,46.0,803.0,1.0
319,esporte_lazer,55.0,1392.0,1.0
320,ferramentas_jardim,52.0,497.0,1.0
321,cama_mesa_banho,50.0,171.0,1.0
322,livros_tecnicos,54.0,1162.0,1.0
323,esporte_lazer,54.0,1241.0,5.0
324,esporte_lazer,43.0,1440.0,1.0
325,beleza_saude,21.0,1000.0,1.0
326,cool_stuff,49.0,733.0,3.0
327,perfumaria,50.0,749.0,1.0
328,beleza_saude,45.0,802.0,1.0
329,eletronicos,40.0,549.0,1.0
330,ferramentas_jardim,60.0,1177.0,3.0
331,moveis_decoracao,54.0,220.0,2.0
332,eletrodomesticos_2,38.0,2030.0,2.0
333,fashion_bolsas_e_acessorios,59.0,119.0,3.0
334,consoles_games,53.0,310.0,1.0
335,instrumentos_musicais,51.0,439.0,3.0
336,cama_mesa_banho,64.0,702.0,1.0
337,moveis_escritorio,48.0,489.0,2.0
338,bebes,59.0,255.0,2.0
339,cama_mesa_banho,51.0,487.0,1.0
340,artigos_de_festas,58.0,134.0,1.0
341,fashion_bolsas_e_acessorios,51.0,372.0,2.0
342,malas_acessorios,39.0,278.0,1.0
343,malas_acessorios,32.0,1064.0,5.0
344,fashion_bolsas_e_acessorios,34.0,426.0,4.0
345,beleza_saude,45.0,1886.0,1.0
346,papelaria,41.0,552.0,2.0
347,cama_mesa_banho,55.0,166.0,1.0
348,telefonia,52.0,819.0,4.0
349,climatizacao,51.0,2959.0,4.0
350,papelaria,53.0,500.0,2.0
351,relogios_presentes,60.0,460.0,4.0
352,cama_mesa_banho,41.0,208.0,2.0
353,papelaria,52.0,219.0,1.0
354,construcao_ferramentas_iluminacao,49.0,527.0,4.0
355,moveis_escritorio,41.0,1071.0,1.0
356,bebes,59.0,348.0,2.0
357,esporte_lazer,28.0,663.0,1.0
358,esporte_lazer,50.0,1212.0,5.0
359,esporte_lazer,57.0,1156.0,1.0
360,telefonia,51.0,1015.0,1.0
361,automotivo,42.0,878.0,2.0
362,papelaria,62.0,621.0,1.0
363,informatica_acessorios,59.0,1238.0,5.0
364,relogios_presentes,37.0,610.0,1.0
365,bebes,52.0,446.0,1.0
366,perfumaria,46.0,499.0,1.0
367,cama_mesa_banho,44.0,331.0,1.0
368,cool_stuff,47.0,1392.0,1.0
369,esporte_lazer,61.0,211.0,4.0
370,fashion_bolsas_e_acessorios,60.0,1118.0,6.0
371,automotivo,59.0,633.0,5.0
372,esporte_lazer,29.0,347.0,1.0
373,beleza_saude,51.0,1918.0,1.0
374,brinquedos,59.0,3492.0,3.0
375,utilidades_domesticas,22.0,663.0,1.0
376,telefonia,42.0,356.0,4.0
377,ferramentas_jardim,60.0,481.0,4.0
378,moveis_decoracao,47.0,470.0,3.0
379,utilidades_domesticas,45.0,561.0,2.0
380,livros_interesse_geral,42.0,1109.0,1.0
381,utilidades_domesticas,37.0,261.0,2.0
382,moveis_escritorio,38.0,2088.0,1.0
383,cama_mesa_banho,52.0,701.0,1.0
384,moveis_decoracao,56.0,945.0,2.0
385,moveis_decoracao,58.0,1953.0,1.0
386,cama_mesa_banho,58.0,744.0,1.0
387,ferramentas_jardim,45.0,616.0,3.0
388,informatica_acessorios,60.0,789.0,4.0
389,informatica_acessorios,18.0,389.0,2.0
390,utilidades_domesticas,21.0,718.0,1.0
391,bebidas,57.0,497.0,1.0
392,cama_mesa_banho,44.0,305.0,1.0
393,beleza_saude,42.0,167.0,2.0
394,telefonia,54.0,409.0,1.0
395,bebes,52.0,1659.0,1.0
396,pet_shop,59.0,140.0,1.0
397,relogios_presentes,54.0,182.0,1.0
398,eletroportateis,58.0,613.0,1.0
399,esporte_lazer,50.0,1530.0,4.0
400,cama_mesa_banho,54.0,223.0,1.0
401,beleza_saude,48.0,762.0,1.0
402,telefonia,60.0,818.0,6.0
403,market_place,50.0,257.0,3.0
404,automotivo,58.0,894.0,1.0
405,perfumaria,45.0,416.0,1.0
406,esporte_lazer,41.0,128.0,1.0
407,perfumaria,40.0,1176.0,1.0
408,casa_construcao,37.0,426.0,2.0
409,utilidades_domesticas,42.0,395.0,1.0
410,esporte_lazer,56.0,813.0,2.0
411,brinquedos,35.0,537.0,2.0
412,la_cuisine,57.0,232.0,1.0
413,esporte_lazer,50.0,844.0,1.0
414,moveis_decoracao,58.0,1047.0,3.0
415,moveis_escritorio,58.0,869.0,2.0
416,esporte_lazer,28.0,733.0,6.0
417,cama_mesa_banho,53.0,628.0,2.0
418,cool_stuff,34.0,443.0,7.0
419,cool_stuff,53.0,304.0,1.0
420,livros_tecnicos,60.0,1265.0,1.0
421,beleza_saude,57.0,1571.0,1.0
422,beleza_saude,58.0,1690.0,4.0
423,brinquedos,59.0,1272.0,5.0
424,informatica_acessorios,57.0,991.0,4.0
425,utilidades_domesticas,31.0,580.0,2.0
426,cama_mesa_banho,50.0,208.0,1.0
427,perfumaria,46.0,483.0,1.0
428,automotivo,60.0,651.0,5.0
429,perfumaria,60.0,773.0,1.0
430,telefonia,43.0,533.0,2.0
431,telefonia,46.0,660.0,2.0
432,utilidades_domesticas,60.0,1206.0,4.0
433,eletronicos,56.0,505.0,2.0
434,consoles_games,39.0,319.0,4.0
435,utilidades_domesticas,55.0,871.0,7.0
436,utilidades_domesticas,60.0,314.0,1.0
437,utilidades_domesticas,17.0,395.0,1.0
438,fashion_bolsas_e_acessorios,56.0,1410.0,1.0
439,automotivo,57.0,1631.0,3.0
440,construcao_ferramentas_ferramentas,50.0,289.0,1.0
441,informatica_acessorios,52.0,260.0,1.0
442,cama_mesa_banho,48.0,120.0,1.0
443,perfumaria,52.0,365.0,1.0
444,esporte_lazer,38.0,256.0,3.0
445,automotivo,41.0,1510.0,1.0
446,moveis_decoracao,60.0,438.0,1.0
447,moveis_decoracao,51.0,535.0,1.0
448,pet_shop,50.0,365.0,3.0
449,moveis_decoracao,28.0,196.0,2.0
450,moveis_decoracao,29.0,764.0,1.0
451,esporte_lazer,46.0,254.0,1.0
452,moveis_decoracao,58.0,2130.0,2.0
453,automotivo,54.0,1636.0,1.0
454,esporte_lazer,43.0,877.0,1.0
455,eletroportateis,52.0,640.0,3.0
456,beleza_saude,40.0,684.0,2.0
457,cama_mesa_banho,56.0,198.0,1.0
458,informatica_acessorios,53.0,192.0,1.0
459,utilidades_domesticas,55.0,783.0,1.0
460,utilidades_domesticas,52.0,202.0,1.0
461,cool_stuff,22.0,683.0,3.0
462,bebidas,59.0,879.0,1.0
463,bebes,46.0,1654.0,6.0
464,instrumentos_musicais,57.0,374.0,1.0
465,cama_mesa_banho,39.0,347.0,1.0
466,papelaria,55.0,1349.0,2.0
467,automotivo,45.0,764.0,4.0
468,fashion_bolsas_e_acessorios,52.0,1383.0,4.0
469,papelaria,52.0,145.0,10.0
470,moveis_decoracao,42.0,461.0,3.0
471,eletrodomesticos,47.0,82.0,1.0
472,casa_construcao,58.0,247.0,1.0
473,esporte_lazer,54.0,1162.0,4.0
474,moveis_sala,24.0,356.0,2.0
475,utilidades_domesticas,46.0,616.0,1.0
476,malas_acessorios,21.0,769.0,4.0
477,relogios_presentes,58.0,635.0,2.0
478,beleza_saude,50.0,355.0,1.0
479,informatica_acessorios,39.0,160.0,3.0
480,utilidades_domesticas,46.0,193.0,1.0
481,utilidades_domesticas,63.0,261.0,2.0
482,cama_mesa_banho,56.0,509.0,4.0
483,beleza_saude,50.0,546.0,1.0
484,utilidades_domesticas,26.0,201.0,1.0
485,telefonia,56.0,367.0,3.0
486,informatica_acessorios,45.0,554.0,3.0
487,construcao_ferramentas_jardim,55.0,749.0,1.0
488,cool_stuff,46.0,269.0,1.0
489,perfumaria,30.0,138.0,1.0
490,cama_mesa_banho,44.0,421.0,1.0
491,automotivo,39.0,1571.0,3.0
492,beleza_saude,46.0,841.0,1.0
493,beleza_saude,57.0,1668.0,1.0
494,relogios_presentes,42.0,431.0,2.0
495,esporte_lazer,54.0,675.0,1.0
496,beleza_saude,59.0,3939.0,6.0
497,utilidades_domesticas,54.0,2952.0,3.0
498,sinalizacao_e_seguranca,53.0,512.0,1.0
499,fashion_bolsas_e_acessorios,53.0,770.0,1.0
500,telefonia,50.0,561.0,3.0
501,esporte_lazer,52.0,473.0,1.0
502,fashion_roupa_masculina,32.0,713.0,2.0
503,beleza_saude,48.0,589.0,1.0
504,relogios_presentes,60.0,394.0,6.0
505,automotivo,58.0,674.0,3.0
506,relogios_presentes,51.0,393.0,1.0
507,livros_tecnicos,42.0,492.0,1.0
508,informatica_acessorios,57.0,761.0,1.0
509,cool_stuff,59.0,988.0,1.0
510,moveis_decoracao,52.0,832.0,1.0
511,beleza_saude,54.0,340.0,1.0
512,consoles_games,59.0,434.0,3.0
513,brinquedos,43.0,389.0,1.0
514,cama_mesa_banho,60.0,166.0,3.0
515,brinquedos,25.0,119.0,1.0
516,beleza_saude,50.0,1083.0,2.0
517,brinquedos,60.0,919.0,2.0
518,cama_mesa_banho,56.0,393.0,2.0
519,utilidades_domesticas,58.0,235.0,5.0
520,brinquedos,31.0,254.0,1.0
521,relogios_presentes,52.0,654.0,4.0
522,beleza_saude,57.0,677.0,1.0
523,cama_mesa_banho,58.0,430.0,1.0
524,moveis_decoracao,58.0,477.0,1.0
525,utilidades_domesticas,50.0,1123.0,1.0
526,construcao_ferramentas_construcao,59.0,711.0,6.0
527,cama_mesa_banho,50.0,627.0,2.0
528,informatica_acessorios,32.0,1095.0,2.0
529,malas_acessorios,59.0,857.0,7.0
530,beleza_saude,45.0,379.0,3.0
531,eletrodomesticos,60.0,230.0,1.0
532,utilidades_domesticas,43.0,1129.0,1.0
533,informatica_acessorios,58.0,240.0,1.0
534,utilidades_domesticas,46.0,290.0,1.0
535,moveis_decoracao,57.0,209.0,11.0
536,perfumaria,60.0,418.0,1.0
537,fashion_roupa_feminina,43.0,754.0,2.0
538,cool_stuff,57.0,1255.0,4.0
539,utilidades_domesticas,27.0,868.0,2.0
540,utilidades_domesticas,41.0,687.0,2.0
541,automotivo,56.0,1310.0,1.0
542,esporte_lazer,32.0,513.0,3.0
543,fashion_bolsas_e_acessorios,42.0,361.0,1.0
544,papelaria,59.0,495.0,7.0
545,construcao_ferramentas_seguranca,58.0,1720.0,3.0
546,industria_comercio_e_negocios,44.0,1396.0,2.0
547,cool_stuff,20.0,740.0,1.0
548,beleza_saude,52.0,1976.0,3.0
549,cama_mesa_banho,54.0,383.0,1.0
550,brinquedos,52.0,397.0,5.0
551,eletrodomesticos_2,59.0,319.0,7.0
552,beleza_saude,32.0,1046.0,1.0
553,cama_mesa_banho,32.0,306.0,1.0
554,beleza_saude,36.0,642.0,1.0
555,eletrodomesticos,57.0,335.0,1.0
556,construcao_ferramentas_construcao,56.0,290.0,2.0
557,esporte_lazer,55.0,936.0,3.0
558,ferramentas_jardim,41.0,394.0,1.0
559,perfumaria,47.0,723.0,1.0
560,fashion_bolsas_e_acessorios,38.0,366.0,3.0
561,cama_mesa_banho,51.0,115.0,1.0
562,cama_mesa_banho,49.0,297.0,2.0
563,casa_conforto,55.0,200.0,2.0
564,cama_mesa_banho,54.0,120.0,1.0
565,cool_stuff,55.0,418.0,2.0
566,informatica_acessorios,34.0,2457.0,1.0
567,cama_mesa_banho,49.0,729.0,1.0
568,cool_stuff,63.0,877.0,6.0
569,cama_mesa_banho,53.0,681.0,1.0
570,relogios_presentes,47.0,528.0,3.0
571,ferramentas_jardim,49.0,374.0,1.0
572,fashion_underwear_e_moda_praia,63.0,3140.0,11.0
573,relogios_presentes,52.0,585.0,1.0
574,esporte_lazer,52.0,682.0,2.0
575,ferramentas_jardim,57.0,365.0,6.0
576,relogios_presentes,54.0,630.0,6.0
577,audio,60.0,1046.0,1.0
578,beleza_saude,56.0,483.0,2.0
579,alimentos_bebidas,57.0,1322.0,1.0
580,informatica_acessorios,60.0,1503.0,5.0
581,utilidades_domesticas,41.0,897.0,1.0
582,automotivo,59.0,867.0,5.0
583,esporte_lazer,25.0,267.0,2.0
584,beleza_saude,46.0,1969.0,1.0
585,moveis_decoracao,53.0,575.0,1.0
586,bebes,51.0,1243.0,2.0
587,esporte_lazer,52.0,1113.0,2.0
588,beleza_saude,44.0,820.0,1.0
589,cool_stuff,51.0,425.0,1.0
590,moveis_decoracao,47.0,348.0,1.0
591,informatica_acessorios,23.0,1036.0,2.0
592,telefonia,45.0,742.0,3.0
593,consoles_games,49.0,781.0,5.0
594,informatica_acessorios,56.0,1173.0,1.0
595,bebidas,44.0,744.0,1.0
596,beleza_saude,53.0,2610.0,2.0
597,moveis_decoracao,59.0,589.0,1.0
598,cama_mesa_banho,58.0,262.0,1.0
599,automotivo,56.0,1108.0,6.0
600,esporte_lazer,54.0,660.0,1.0
601,utilidades_domesticas,55.0,132.0,1.0
602,eletroportateis,58.0,613.0,1.0
603,informatica_acessorios,34.0,1122.0,2.0
604,cama_mesa_banho,55.0,739.0,1.0
605,moveis_decoracao,52.0,646.0,1.0
606,cama_mesa_banho,60.0,298.0,1.0
607,utilidades_domesticas,52.0,1301.0,1.0
608,moveis_decoracao,59.0,439.0,1.0
609,cama_mesa_banho,54.0,687.0,2.0
610,cama_mesa_banho,58.0,678.0,1.0
611,beleza_saude,60.0,950.0,2.0
612,moveis_decoracao,58.0,275.0,1.0
613,ferramentas_jardim,54.0,2155.0,1.0
614,automotivo,58.0,177.0,1.0
615,esporte_lazer,59.0,1104.0,1.0
616,construcao_ferramentas_construcao,58.0,138.0,6.0
617,moveis_decoracao,56.0,296.0,2.0
618,cama_mesa_banho,57.0,520.0,1.0
619,cool_stuff,35.0,377.0,2.0
